name,address,city,state,zip,phone,latitude,longitude,website
Manheim Albany,"459 Route 146, Clifton Park, NY 12065-0440 Get Directions",,,,518-371-7500,,,https://site.manheim.com/en/locations/us-locations/manheim-albany.html
Manheim Atlanta,"4900 Buffington Rd., College Park, GA 30349 Get Directions",,,,404-762-9211,,,https://site.manheim.com/en/locations/us-locations/manheim-atlanta.html
MyCentralAuction,"6305 Peachtree Dunwoody Rd., Bldg B, Fl 6",Atlanta,GA,30328-4535,866-626-4346,,,https://site.manheim.com/en/locations/us-locations/mycentralauction.html
Manheim Baltimore-Washington,"7120 Dorsey Run Rd., Elkridge, MD 21075 Get Directions",,,,800-533-2923,,,https://site.manheim.com/en/locations/us-locations/manheim-baltimore-washington.html
Manheim Birmingham,"5750 Highway 78 East, Birmingham, AL 35210 Get Directions",,,,205-956-4700,,,https://site.manheim.com/en/locations/us-locations/manheim-birmingham.html
King Mobile Auction,"201 Newsome Rd., King, NC 27021 Get Directions",,,,919-284-4052,,,https://site.manheim.com/en/locations/us-locations/manheim-seattle.html
Burlington Mobile Auction,"Foothills Toyota, 1881 Bouslog Rd, Burlington, WA 98233 Get Directions",,,,714-996-2400,,,https://site.manheim.com/en/locations/us-locations/manheim-seattle.html
Manheim California,"1320 N Tustin Ave, Anaheim, CA 92807-1619 Get Directions",,,,714-996-2400,,,https://site.manheim.com/en/locations/us-locations/manheim-california.html
Manheim Caribbean Subasta De Autos,"Carr. 865 1050 KM 4.5, Bo. Candelaria, Toa Baja, PR 00949 Get Directions",,,,787-261-7300,,,https://site.manheim.com/en/locations/us-locations/manheim-caribbean-subasta-de-autos.html
Manheim Central Florida,"9800 Bachman Rd, Orlando, FL 32824-8005 Get Directions",,,,407-438-1000,,,https://site.manheim.com/en/locations/us-locations/manheim-central-florida.html
Arlington Mobile Auction,"3217 E Abram, Arlington, TX 76010 Get Directions",,,,704-978-2500,,,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html
Manheim Charlotte,"287 Concord Parkway, Suite B, Concord, NC 28027 Get Directions",,,,704-978-2500,,,https://site.manheim.com/en/locations/us-locations/manheim-charlotte.html
Manheim Chicago,"20401 Cox Ave, Matteson, IL 60443 Get Directions",,,,815-806-4222,,,https://site.manheim.com/en/locations/us-locations/manheim-chicago.html
Manheim Cincinnati,"4969 Muhlhauser Rd, Hamilton, OH 45011-9789 Get directions",,,,513-874-9310,,,https://site.manheim.com/en/locations/us-locations/manheim-cincinnati.html
Manheim Cleveland,"5801 Engle Road,, Brook Park, Ohio 44142 Get Directions",,,,216-539-1701,,,https://site.manheim.com/en/locations/us-locations/manheim-cleveland.html
Manheim Dallas,"5333 W Kiest Blvd, Dallas, TX 75236-1055 Get Directions",,,,214-330-1800,,,https://site.manheim.com/en/locations/us-locations/manheim-dallas.html
Manheim Dallas-Fort Worth,"12101 Trinity Blvd, Euless, TX 76040 Get Directions",,,,817-399-4000,,,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html
Manheim Darlington,"1111 Harry Byrd Highway, Darlington, SC 29532-3507 Get Directions",,,,843-393-2861,,,https://site.manheim.com/en/locations/us-locations/manheim-darlington.html
Manheim Daytona Beach,"1305 Indian Lake Road, Daytona Beach, FL 32124-1039 Get Directions",,,,386-255-2500,,,https://site.manheim.com/en/locations/us-locations/manheim-daytona-beach.html
Manheim Denver,"17500 E 32nd Ave, Aurora, CO 80011-3316 Get Directions",,,,303-343-3443,,,https://site.manheim.com/en/locations/us-locations/manheim-denver.html
Manheim Detroit,"600 Will Carleton Rd, Carleton, MI 48117-9704 Get Directions",,,,734-654-7100,,,https://site.manheim.com/en/locations/us-locations/manheim-detroit.html
Manheim El Paso,"485 Coates Dr, El Paso, TX 79932-1316 Get Directions",,,,915-833-9333,,,https://site.manheim.com/en/locations/us-locations/manheim-el-paso.html
Manheim Flint,"7180 N. Dort Highway, Mt. Morris, MI 48458 Get Directions",,,,810-341-1600,,,https://site.manheim.com/en/locations/us-locations/manheim-flint.html
Manheim Fredericksburg,"120 Auction Dr, Fredericksburg, VA 22406 Get Directions",,,,540-368-3400,,,https://site.manheim.com/en/locations/us-locations/manheim-fredericksburg.html
Manheim Fort Lauderdale,"5353 S State Road 7, Davie, FL 33314-6403 Get Directions",,,,954-791-3520,,,https://site.manheim.com/en/locations/us-locations/manheim-fort-lauderdale.html
Manheim Fort Myers,"2100 Rockfill Rd, Fort Myers, FL 33916 Get Directions",,,,239-476-9800,,,https://site.manheim.com/en/locations/us-locations/manheim-fort-myers.html
Manheim Fresno,"278 N Marks Ave, Fresno, CA 93706-1136 Get Directions",,,,559-268-8051,,,https://site.manheim.com/en/locations/us-locations/manheim-fresno.html
Manheim Georgia,"7205 Campbellton Rd SW, Atlanta, GA 30331-8144 Get Directions",,,,404-349-5555,,,https://site.manheim.com/en/locations/us-locations/manheim-georgia.html
Manheim Greer Service Center,"101 Tungsten Blvd, Greer, SC 29651 Get Directions",,,,404-734-3212,,,https://site.manheim.com/en/locations/us-locations/manheim-greer.html
Manheim Harrisonburg,"3560 Early Rd, Harrisonburg, VA 22801 Get Directions",,,,540-434-5991,,,https://site.manheim.com/en/locations/us-locations/manheim-harrisonburg.html
Manheim Hawaii,"1001 Ahua Street, Honolulu, HI 96819 Get Directions",,,,808 840-8900,,,https://site.manheim.com/en/locations/us-locations/manheim-hawaii.html
Manheim Texas Hobby,"8215 Kopman Rd, Houston, TX 77061-5405 Get Directions",,,,713-649-8233,,,https://site.manheim.com/en/locations/us-locations/manheim-texas-hobby.html
Manheim Houston,"14450 West Rd, Houston, TX 77041-1103 Get Directions",,,,281-890-4300,,,https://site.manheim.com/en/locations/us-locations/manheim-houston.html
Hudson Oaks Mobile Auction,"Jerry Durant Auto Group, 3131 Fort Worth Highway, Hudson Oaks, TX 76087 Get Directions",,,,317-862-8622,,,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html
Manheim Indianapolis,"3110 S Post Rd, Indianapolis, IN 46239 Get Directions",,,,317-862-8622,,,https://site.manheim.com/en/locations/us-locations/manheim-indianapolis.html
Manheim Iowa,"723 SW. 8th Street, Stuart, IA 50250 Get Directions",,,,515-523-8152,,,https://site.manheim.com/en/locations/us-locations/manheim-iowa.html
Manheim Jacksonville,"10817 New Kings Rd, Jacksonville, FL 32219 Get Directions",,,,904-768-9981,,,https://site.manheim.com/en/locations/us-locations/manheim-jacksonville.html
Manheim Kansas City,"3901 N Skiles Ave, Kansas City, MO 64161 Get Directions",,,,816-452-4084,,,https://site.manheim.com/en/locations/us-locations/manheim-kansas-city.html
Manheim Keystone Pennsylvania,"488 Firehouse Rd, Grantville, PA 17028-8912 Get Directions",,,,717-469-7900,,,https://site.manheim.com/en/locations/us-locations/manheim-keystone-pennsylvania.html
Manheim Lafayette,"1611 St. Mary Street, Scott, LA 70583 Get Directions",,,,337-237-5620,,,https://site.manheim.com/en/locations/us-locations/manheim-lafayette.html
Manheim Lakeland,"8025 N State Road 33, Lakeland, FL 33809 Get Directions",,,,863-984-1551,,,https://site.manheim.com/en/locations/us-locations/manheim-lakeland.html
Las Vegas Mobile Auction,"5385 W. Sahara Ave, Las Vegas, NV 89146 Get Directions",,,,501-565-1790,,,https://site.manheim.com/en/locations/us-locations/manheim-nevada.html
Manheim Little Rock,"282 US-64 East, Conway, AR 72032 Get Directions",,,,501-565-1790,,,https://site.manheim.com/en/locations/us-locations/manheim-little-rock.html
Manheim Louisville,"5425 US-31, Clarksville, IN 47129-9228. Get Directions",,,,812-283-0734,,,https://site.manheim.com/en/locations/us-locations/manheim-louisville.html
Lugoff Mobile Auction,"Lugoff Ford, 979 Hwy 1 South, Lugoff, SC 29078 Get Directions",,,,262-835-4436,,,https://site.manheim.com/en/locations/us-locations/manheim-darlington.html
Manheim Milwaukee,"561 27th St, Caledonia, WI 53108-9785 Get Directions",,,,262-835-4436,,,https://site.manheim.com/en/locations/us-locations/manheim-milwaukee.html
Manheim Minneapolis,"8001 Jefferson Hwy, Maple Grove, MN 55369 Get Directions",,,,763-315-5600,,,https://site.manheim.com/en/locations/us-locations/manheim-minneapolis.html
Manheim Northstar Minnesota,"4908 Valley Industrial Blvd N, Shakopee, MN 55379-1861 Get Directions",,,,952-445-5544,,,https://site.manheim.com/en/locations/us-locations/manheim-northstar-minnesota.html
Manheim Mississippi,"7510 U S Highway 49, Hattiesburg, MS 39402-9104 Get Directions",,,,601-268-7550,,,https://site.manheim.com/en/locations/us-locations/manheim-mississippi.html
Manheim Nashville,"8400 Eastgate Blvd, Mount Juliet, TN 37122-3141 Get Directions",,,,615-773-3800,,,https://site.manheim.com/en/locations/us-locations/manheim-nashville.html
Manheim New Hampshire,"221 Route 108, Somersworth, NH, 03878 Get Directions",,,,603-841-3990,,,https://site.manheim.com/en/locations/us-locations/manheim-new-hampshire.html
Manheim New England,"123 Williams St, North Dighton, MA 02764-0001 Get Directions",,,,508-823-6600,,,https://site.manheim.com/en/locations/us-locations/manheim-new-england.html
Manheim New Jersey,"730 Route 68, Bordentown, NJ 08505-0188 Get Directions",,,,609-298-3400,,,https://site.manheim.com/en/locations/us-locations/manheim-new-jersey.html
Manheim New Mexico,"3411 Broadway Blvd SE, Albuquerque, NM 87105-0405 Get Directions",,,,505-242-9191,,,https://site.manheim.com/en/locations/us-locations/manheim-new-mexico.html
Manheim New Orleans,"61077 Saint Tammany Ave., Slidell, LA 70460 Get Directions",,,,985-643-2061,,,https://site.manheim.com/en/locations/us-locations/manheim-new-orleans.html
Manheim New York,"2000 Dealer Dr, Newburgh, NY 12550-5067 Get Directions",,,,845-567-8400,,,https://site.manheim.com/en/locations/us-locations/manheim-new-york.html
Manheim NY Metro Skyline,"100 Us Highway 46, Fairfield, NJ 07004-3217 Get Directions",,,,973-227-0100,,,https://site.manheim.com/en/locations/us-locations/manheim-ny-metro-skyline.html
Manheim Nevada,"6600 Auction Ln, Las Vegas, NV 89165-1700 Get Directions",,,,702-730-1400,,,https://site.manheim.com/en/locations/us-locations/manheim-nevada.html
Manheim North Carolina,"318 Bagley Road, Kenly, NC 27542 Get Directions",,,,919-284-4052,,,https://site.manheim.com/en/locations/us-locations/manheim-north-carolina.html
Manheim Oceanside,"4691 Calle Joven, Oceanside, CA 92057-604 Get Directions",,,,760-754-3600,,,https://site.manheim.com/en/locations/us-locations/manheim-san-diego.html
Manheim Ohio,"3905 Jackson Pike, Grove City, OH 43123-9731 Get Directions",,,,614-871-2771,,,https://site.manheim.com/en/locations/us-locations/manheim-ohio.html
Olathe Mobile Auction,"675 North Rawhide Dr., Olathe, KS 66061 Get Directions",,,,402 896-8000,,,https://site.manheim.com/en/locations/us-locations/manheim-kansas-city.html
Manheim Omaha,"9201 South 144th St, Omaha, NE 68138-3634 Get Directions",,,,402 896-8000,,,https://site.manheim.com/en/locations/us-locations/manheim-omaha.html
Manheim Orlando,"11801 W Colonial Dr, Ocoee, FL 34761-3328 Get Directions",,,,407-656-6200,,,https://site.manheim.com/en/locations/us-locations/manheim-orlando.html
Manheim Palm Beach,"600 Sansburyâ€™s Way, West Palm Beach, FL 33411 Get Directions",,,,561-790-1200,,,https://site.manheim.com/en/locations/us-locations/manheim-palm-beach.html
Manheim Pennsylvania,"1190 Lancaster Rd, Manheim, PA 17545-9746 Get Directions",,,,717-665-3571,,,https://site.manheim.com/en/locations/us-locations/manheim-pennsylvania.html
Manheim Pensacola,"6359 North W St, Pensacola, FL 32505-1710 Get Directions",,,,850-484-7100,,,https://site.manheim.com/en/locations/us-locations/manheim-pensacola.html
Manheim Philadelphia,"2280 Bethlehem Pike, Hatfield, PA 19440 Get Directions",,,,215-822-1935,,,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html
Manheim Phoenix,"201 N 83rd Ave, Tolleson, AZ 85353-3323 Get Directions",,,,623-907-7000,,,https://site.manheim.com/en/locations/us-locations/manheim-phoenix.html
Manheim Pittsburgh,"21095 Route 19, Cranberry Township, PA 16066 Get Directions",,,,724 452-5555,,,https://site.manheim.com/en/locations/us-locations/manheim-pittsburgh.html
Park Place Auto Auction Powered by Manheim,"4422 West Plano Pkwy, Plano, TX 75093 Get Directions",,,,817-399-4000,,,https://site.manheim.com/en/locations/us-locations/manheim-park-place.html
Manheim Portland,"3000 N Hayden Island Dr, Portland, OR 97217-8257 Get Directions",,,,503-286-3000,,,https://site.manheim.com/en/locations/us-locations/manheim-portland.html
Reading Mobile Auction,"841 E. Wyomissing Blvd, Reading, PA 19611 Get Directions",,,,215-822-1935,,,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html
Roanoke Mobile Auction,"2711 Franklin SW, Roanoke, VA 24014 Get Directions",,,,540-908-5362,,,https://site.manheim.com/en/locations/us-locations/manheim-harrisonburg.html
Manheim Riverside,"6446 Fremont St, Riverside, CA 92504-1437 Get Directions",,,,585-328-2277,,,https://site.manheim.com/en/locations/us-locations/manheim-riverside.html
Manheim Rochester,"375 Weiland Rd., Rochester, NY 14615 Get Directions",,,,585-328-2277,,,https://site.manheim.com/en/locations/us-locations/manheim-rochester.html
4 Star Auto Auction Powered by Manheim,"1050 Four Star Drive, Valley, AL 36854 Get Directions",,,,256-662-7025,,,https://site.manheim.com/en/locations/us-locations/manheim-4-star.html
Rome Auto Auction Powered by Manheim,"3824 Highway 411, Kingston, GA 30145 Get Directions",,,,470-339-2255,,,https://site.manheim.com/en/locations/us-locations/manheim-rome.html
Manheim St. Louis,"13813 Saint Charles Rock Rd., Bridgeton, MO 63044-3824 Get Directions",,,,314-739-1300,,,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html
St. Louis Mobile Auction,"3705 Lemay Ferry Rd, St. Louis, MO 63125 Get Directions",,,,314-739-1300,,,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html
Manheim St. Pete,"14950 Roosevelt Blvd, Clearwater, FL 33762-3501 Get Directions",,,,727-531-7717,,,https://site.manheim.com/en/locations/us-locations/manheim-st-pete.html
Manheim San Antonio,"2042 Ackerman Rd, San Antonio, TX 78219-3016 Get Directions",,,,210-661-4200,,,https://site.manheim.com/en/locations/us-locations/manheim-san-antonio.html
Manheim San Francisco Bay,"29900 Auction Way, Hayward, CA 94544 Get Directions",,,,510-786-4500,,,https://site.manheim.com/en/locations/us-locations/manheim-san-francisco-bay.html
Manheim Seattle,"19711 77th Ave South, Kent, WA 98032 Get Directions",,,,253-872-6800,,,https://site.manheim.com/en/locations/us-locations/manheim-seattle.html
Manheim Statesville,"145 Auction Ln, Statesville, NC 28625-9009 Get Directions",,,,704-876-1111,,,https://site.manheim.com/en/locations/us-locations/manheim-statesville.html
Manheim Southern California,"10700 Beech Ave, Fontana, CA 92337-7205 Get Directions",,,,909-822-2261,,,https://site.manheim.com/en/locations/us-locations/manheim-southern-california.html
Manheim Tampa,"401 S 50th St, Tampa, FL 33619-3651 Get Directions",,,,813-247-1666,,,https://site.manheim.com/en/locations/us-locations/manheim-tampa.html
Manheim Tucson,"7090 S Craycroft Rd, Tucson, AZ 85756 Get Directions",,,,520-574-2222,,,https://site.manheim.com/en/locations/us-locations/manheim-tucson.html
Manheim Tulsa,"9101 Frankoma Road, Sapulpa, OK 74066 Get Directions",,,,918-227-3542,,,https://site.manheim.com/en/locations/us-locations/manheim-tulsa.html
Manheim Utah,"1650 West 500 South, Woods Cross, UT 84087 Get Directions",,,,801-298-7900,,,https://site.manheim.com/en/locations/us-locations/manheim-utah.html
Wichita Mobile Auction,"9707 E. Orme Street, Wichita, KS 67207 Get Directions",,,,910-338-3060,,,https://site.manheim.com/en/locations/us-locations/manheim-kansas-city.html
Manheim Wilmington,"169 Auction Drive, Rocky Point, NC 28457 Get Directions",,,,910-338-3060,,,https://site.manheim.com/en/locations/us-locations/manheim-wilmington.html
